Countries,Deaths
Afghanistan,1.9230769230769231
Albania,-1.0
Algeria,0.23076923076922995
Andorra,-1.5384615384615385
Angola,0.0
Antigua and Barbuda,-0.15384615384615385
Argentina,-3.9230769230769234
Armenia,0.23076923076923073
Australia,-0.15384615384615374
Austria,-1.3076923076923066
Azerbaijan,0.46153846153846156
Bahamas,-0.6153846153846154
Bahrain,-0.15384615384615385
Bangladesh,1.0769230769230769
Barbados,-0.3076923076923077
Belarus,2.230769230769231
Belgium,102.76923076923077
Benin,-0.07692307692307693
Bhutan,0.0
Bolivia,-0.46153846153846145
Bosnia and Herzegovina,-1.3846153846153846
Brazil,-9.0
Brunei,0.0
Bulgaria,1.4615384615384615
Burkina Faso,1.8461538461538463
Cabo Verde,0.0
Cambodia,0.0
Cameroon,-0.46153846153846156
Canada,51.61538461538461
Central African Republic,0.0
Chad,0.0
Chile,2.9230769230769234
China,0.0
Colombia,13.076923076923077
Congo (Brazzaville),-0.38461538461538464
Congo (Kinshasa),-1.0769230769230769
Costa Rica,-0.07692307692307693
Cote d'Ivoire,0.7692307692307692
Croatia,-1.1538461538461537
Diamond Princess,-0.07692307692307693
Cuba,0.0
Cyprus,-0.38461538461538464
Czechia,1.3076923076923084
Denmark,-1.4615384615384617
Djibouti,0.8461538461538461
Dominican Republic,1.615384615384615
Ecuador,-1.76923076923077
Egypt,2.8461538461538467
El Salvador,-0.46153846153846156
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,-1.6153846153846154
Eswatini,0.0
Ethiopia,-0.23076923076923078
Fiji,0.0
Finland,-1.923076923076923
France,-228.61538461538464
Gabon,0.0
Gambia,0.0
Georgia,-0.23076923076923078
Germany,-200.46153846153845
Ghana,1.7692307692307692
Greece,-3.230769230769231
Guatemala,-0.15384615384615385
Guinea,0.0
Guyana,-0.38461538461538464
Haiti,-0.15384615384615385
Holy See,0.0
Honduras,-0.6153846153846154
Hungary,2.4615384615384617
Iceland,0.5384615384615384
India,21.923076923076923
Indonesia,4.615384615384617
Iran,-7.076923076923066
Iraq,-0.3076923076923075
Ireland,11.923076923076923
Israel,-0.615384615384615
Italy,-49.38461538461536
Jamaica,-0.23076923076923078
Japan,-3.4615384615384617
Jordan,-0.3076923076923077
Kazakhstan,-0.6923076923076923
Kenya,-0.46153846153846156
"Korea, South",-1.5384615384615383
Kuwait,-0.07692307692307693
Kyrgyzstan,-0.38461538461538464
Latvia,-0.23076923076923078
Lebanon,-0.7692307692307693
Liberia,-0.38461538461538464
Liechtenstein,-0.07692307692307693
Lithuania,-0.23076923076923084
Luxembourg,4.846153846153847
Madagascar,0.0
Malaysia,0.0769230769230771
Maldives,0.0
Malta,0.7692307692307692
Mauritania,-0.07692307692307693
Mauritius,-0.46153846153846156
Mexico,22.307692307692307
Moldova,-1.1538461538461537
Monaco,0.0
Mongolia,0.0
Montenegro,-0.07692307692307693
Morocco,-2.5384615384615383
Namibia,0.0
Nepal,0.0
Netherlands,-11.69230769230768
New Zealand,1.7692307692307692
Nicaragua,0.0
Niger,-0.7692307692307693
Nigeria,2.3076923076923075
North Macedonia,-0.15384615384615374
Norway,-1.2307692307692308
Oman,-0.23076923076923078
Pakistan,14.461538461538462
Panama,3.615384615384615
Papua New Guinea,0.0
Paraguay,-0.23076923076923078
Peru,-0.5384615384615383
Philippines,12.461538461538462
Poland,12.692307692307692
Portugal,8.0
Qatar,-0.38461538461538464
Romania,1.9230769230769234
Russia,4.461538461538462
Rwanda,0.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,0.0
San Marino,0.0
Saudi Arabia,1.6153846153846154
Senegal,-0.15384615384615385
Serbia,-1.6923076923076925
Seychelles,0.0
Singapore,0.6153846153846154
Slovakia,-0.15384615384615385
Slovenia,2.0
Somalia,-0.07692307692307693
South Africa,-0.7692307692307692
Spain,-229.0769230769231
Sri Lanka,-0.46153846153846156
Sudan,-0.07692307692307693
Suriname,-0.07692307692307693
Sweden,-42.76923076923077
Switzerland,-22.615384615384613
Taiwan*,-0.3076923076923077
Tanzania,-0.23076923076923078
Thailand,-0.15384615384615374
Togo,-0.15384615384615385
Trinidad and Tobago,-0.38461538461538464
Tunisia,1.4615384615384615
Turkey,20.384615384615387
Uganda,0.0
Ukraine,-0.8461538461538458
United Arab Emirates,2.6923076923076925
United Kingdom,251.76923076923072
Uruguay,-0.46153846153846156
US,492.6923076923076
Uzbekistan,0.8461538461538461
Venezuela,-0.5384615384615384
Vietnam,0.0
Zambia,-0.15384615384615385
Zimbabwe,-0.15384615384615385
Dominica,0.0
Grenada,0.0
Mozambique,0.0
Syria,-0.07692307692307693
Timor-Leste,0.0
Belize,-0.15384615384615385
Laos,0.0
Libya,-0.07692307692307693
West Bank and Gaza,-0.07692307692307693
Guinea-Bissau,0.0
Mali,-0.46153846153846156
Saint Kitts and Nevis,0.0
Kosovo,-0.46153846153846156
Burma,-0.23076923076923078
MS Zaandam,-0.15384615384615385
Botswana,-0.07692307692307693
Burundi,0.0
Sierra Leone,0.0
Malawi,0.8461538461538461
South Sudan,0.0
Western Sahara,0.0
Sao Tome and Principe,0.0
Yemen,0.0
